time,symbol,fundingRate,exchange
2023-03-07 16:00:00.000,SOLUSDT,5.007e-05,Bybit
2023-03-07 16:00:00.017,SOLUSDT,-0.00011785,Binance
2023-03-08 00:00:00.000,SOLUSDT,-5.279e-05,Binance
2023-03-08 00:00:00.000,SOLUSDT,5.735e-05,Bybit
2023-03-08 08:00:00.000,SOLUSDT,4.14e-05,Bybit
2023-03-08 08:00:00.014,SOLUSDT,-0.00015628,Binance
2023-03-08 16:00:00.000,SOLUSDT,-9.493e-05,Bybit
2023-03-08 16:00:00.021,SOLUSDT,-0.00015932,Binance
2023-03-09 00:00:00.000,SOLUSDT,6.95e-05,Bybit
2023-03-09 00:00:00.010,SOLUSDT,-4.86e-05,Binance
2023-03-09 08:00:00.000,SOLUSDT,-5.011e-05,Bybit
2023-03-09 08:00:00.013,SOLUSDT,-0.00015189,Binance
2023-03-09 16:00:00.000,SOLUSDT,0.0001,Bybit
2023-03-09 16:00:00.002,SOLUSDT,0.0001,Binance
2023-03-10 00:00:00.000,SOLUSDT,-3.308e-05,Bybit
2023-03-10 00:00:00.000,SOLUSDT,-0.00018592,Binance
2023-03-10 08:00:00.000,SOLUSDT,0.0001,Bybit
2023-03-10 08:00:00.000,SOLUSDT,8.585e-05,Binance
2023-03-10 16:00:00.000,SOLUSDT,-0.00013224,Bybit
2023-03-10 16:00:00.005,SOLUSDT,-0.00019429,Binance
2023-03-11 00:00:00.000,SOLUSDT,-0.00020127,Bybit
